Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773061835,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773061836,2,,Aggregated,0.000000,0.000000,13,20,30,50,51,55,77,77,77,77,77,28,0,13,23.161110721827885,8.507700054906309,76.70780003536493,132.07142857142858
1773061837,4,,Aggregated,0.000000,0.000000,13,21,30,34,50,54,77,77,77,77,77,42,0,13,23.02041428629309,8.507700054906309,76.70780003536493,164.47619047619048
1773061838,6,,Aggregated,0.000000,0.000000,20,31,50,50,64,77,110,250,250,250,250,52,0,19,33.38465961860493,8.507700054906309,247.9729000478983,185.51923076923077
1773061839,10,,Aggregated,14.500000,0.000000,21,31,42,50,58,70,110,250,250,250,250,62,0,20,31.89349194027243,8.507700054906309,247.9729000478983,212.30645161290323
1773061840,10,,Aggregated,14.000000,0.000000,20,30,34,43,58,77,110,250,250,250,250,77,0,20,30.190981824749283,7.428199984133244,247.9729000478983,224.7012987012987
1773061841,10,,Aggregated,13.000000,0.000000,20,30,34,43,58,77,110,250,250,250,250,80,0,19,29.42544125689892,7.110800012014806,247.9729000478983,219.975
1773061843,10,,Aggregated,12.400000,0.000000,20,30,33,42,58,77,140,250,250,250,250,88,0,19,29.818873871012,7.110800012014806,247.9729000478983,216.23863636363637
1773061844,10,,Aggregated,12.833333,0.000000,21,30,38,46,64,82,140,250,250,250,250,92,0,20,31.30897391921557,7.110800012014806,247.9729000478983,220.6304347826087
1773061845,10,,Aggregated,11.428571,0.000000,21,30,38,50,64,99,140,250,250,250,250,95,0,21,31.974160007054085,7.110800012014806,247.9729000478983,217.06315789473683
1773061846,10,,Aggregated,11.000000,0.000000,22,30,41,50,70,99,140,250,280,280,280,104,0,21,34.31155769682776,7.110800012014806,277.4461000226438,213.44230769230768
1773061847,10,,Aggregated,10.222222,0.000000,21,30,39,50,70,99,140,250,280,280,280,108,0,20,33.35142870761316,6.311499979346991,277.4461000226438,214.0
1773061848,10,,Aggregated,9.500000,0.000000,20,30,38,46,64,99,140,250,280,280,280,111,0,20,32.893788290780606,6.311499979346991,277.4461000226438,213.92792792792793
1773061849,10,,Aggregated,10.400000,0.000000,19,30,34,46,64,99,140,250,280,280,280,115,0,19,32.179540870508745,6.311499979346991,277.4461000226438,214.9304347826087
1773061850,10,,Aggregated,7.900000,0.000000,19,30,33,43,64,99,140,250,280,280,280,119,0,19,31.632527732485983,6.311499979346991,277.4461000226438,213.2436974789916
1773061851,10,,Aggregated,6.900000,0.000000,19,30,33,41,64,82,140,250,280,280,280,127,0,19,31.060180315146532,6.311499979346991,277.4461000226438,207.41732283464566
1773061852,10,,Aggregated,6.300000,0.000000,18,29,33,41,64,99,250,260,280,280,280,135,0,18,31.917928148026544,6.311499979346991,277.4461000226438,203.64444444444445
1773061853,10,,Aggregated,6.300000,0.000000,18,29,33,41,64,99,250,260,280,280,280,135,0,18,31.917928148026544,6.311499979346991,277.4461000226438,203.64444444444445
1773061854,10,,Aggregated,5.000000,0.000000,17,28,32,38,62,82,250,260,280,280,280,143,0,17,30.753317481994472,6.311499979346991,277.4461000226438,202.979020979021
1773061855,10,,Aggregated,5.500000,0.000000,16,27,32,38,62,82,250,260,280,280,280,145,0,16,30.491266896594958,6.311499979346991,277.4461000226438,205.38620689655173
